,id,longitude,latitude,time,water,trees,grass,flooded_vegetation,crops,shrub_and_scrub,built,bare,snow_and_ice,label,Company,mine_id,orig_perm_id,start_date,end_date
540,20190729T161839_20190729T162825_T17SKA,-84.0400897752336,36.47968537280965,1564418006750,0.03131888899952173,0.7326624393463135,0.036309972405433655,0.029185418039560318,0.031573238084092736,0.036917269229888916,0.031486535677686334,0.03692899737507105,0.03349409345537424,1,DAVIS CREEK ENERGY LLC,0000000000000000000b,3217,2019-07-01,2019-07-31
548,20190724T161911_20190724T162524_T17SKA,-84.02751336125593,36.47968537280965,1563986003616,0.02730845008045435,0.7496078221593052,0.040390352020040154,0.02511520776897669,0.036100927740335464,0.031184016028419137,0.02959874109365046,0.02784054377116263,0.0324963117018342,1,DAVIS CREEK ENERGY LLC,0000000000000000000b,3217,2019-07-01,2019-07-31
549,20190729T161839_20190729T162825_T16SGF,-84.02751336125593,36.47968537280965,1564418008142,0.03091514320112765,0.6970323680434376,0.05424003326334059,0.029441440710797906,0.04407078120857477,0.034404996782541275,0.030062573263421655,0.02549873315729201,0.03205223218537867,1,DAVIS CREEK ENERGY LLC,0000000000000000000b,3217,2019-07-01,2019-07-31
550,20190729T161839_20190729T162825_T17SKA,-84.02751336125593,36.47968537280965,1564418006750,0.02911768131889403,0.7477858066558838,0.040765345096588135,0.028557988116517663,0.035823140293359756,0.029714361065998673,0.028972054133191705,0.026378486305475235,0.03128649294376373,1,DAVIS CREEK ENERGY LLC,0000000000000000000b,3217,2019-07-01,2019-07-31
558,20190724T161911_20190724T162524_T17SKA,-84.02571673068769,36.47968537280965,1563986003616,0.028249394381418824,0.7419387111440301,0.040059836814180017,0.02790677919983864,0.041638763854280114,0.029530526138842106,0.02919063181616366,0.027606804156675935,0.0335443785879761,1,DAVIS CREEK ENERGY LLC,0000000000000000000b,3217,2019-07-01,2019-07-31
559,20190729T161839_20190729T162825_T16SGF,-84.02571673068769,36.47968537280965,1564418008142,0.03197033051401377,0.6027933964505792,0.07631979533471167,0.030759730376303196,0.07130438461899757,0.04946035915054381,0.03090441250242293,0.027601733803749084,0.03358351532369852,1,DAVIS CREEK ENERGY LLC,0000000000000000000b,3217,2019-07-01,2019-07-31
560,20190729T161839_20190729T162825_T17SKA,-84.02571673068769,36.47968537280965,1564418006750,0.03179595712572336,0.5884034188929945,0.0818807187024504,0.031264904886484146,0.07502697431482375,0.05214270786382258,0.031221751123666763,0.026651798048987985,0.03421845124103129,1,DAVIS CREEK ENERGY LLC,0000000000000000000b,3217,2019-07-01,2019-07-31
568,20190724T161911_20190724T162524_T17SKA,-84.02392010011944,36.47968537280965,1563986003616,0.03086686972528696,0.7461505243554711,0.032705698162317276,0.030882956692948937,0.03284381912089884,0.03181228437460959,0.0318286158144474,0.029703840846195817,0.03267259243875742,1,DAVIS CREEK ENERGY LLC,0000000000000000000b,3217,2019-07-01,2019-07-31
569,20190729T161839_20190729T162825_T16SGF,-84.02392010011944,36.47968537280965,1564418008142,0.031524453312158585,0.7443853768054396,0.03368425741791725,0.032145180739462376,0.03166549000889063,0.03261745348572731,0.029730144888162613,0.031060189940035343,0.03284935001283884,1,DAVIS CREEK ENERGY LLC,0000000000000000000b,3217,2019-07-01,2019-07-31
570,20190729T161839_20190729T162825_T17SKA,-84.02392010011944,36.47968537280965,1564418006750,0.03185039758682251,0.7470206937287003,0.03427492664195597,0.03208502219058573,0.0347454696893692,0.029830206418409944,0.029096855083480477,0.02851674542762339,0.03201945894397795,1,DAVIS CREEK ENERGY LLC,0000000000000000000b,3217,2019-07-01,2019-07-31
