,id,longitude,latitude,time,water,trees,grass,flooded_vegetation,crops,shrub_and_scrub,built,bare,snow_and_ice,label,Company,mine_id,orig_perm_id,start_date,end_date
132,20230705T160829_20230705T162114_T17TNE,-80.0461800220382,39.65972147859276,1688574138794,0.02765753329731524,0.6784816095605493,0.061693900264799595,0.030546010471880436,0.07430149614810944,0.029846020974218845,0.028372630709782243,0.02850128710269928,0.03172525414265692,1,PATRIOT MINING COMPANY LLC,0000000000000000004f,S100297,2023-07-01,2023-07-31
135,20230712T155829_20230712T160941_T17SND,-80.0461800220382,39.65972147859276,1689178355692,0.025919545674696565,0.6267441643867642,0.07929050270467997,0.03803975973278284,0.06355729047209024,0.04785823845304549,0.038463531294837594,0.03175243828445673,0.039773271419107914,1,PATRIOT MINING COMPANY LLC,0000000000000000004f,S100297,2023-07-01,2023-07-31
137,20230725T160829_20230725T162050_T17SND,-80.0461800220382,39.65972147859276,1690302153863,0.030540677020326257,0.7337861044798046,0.040537683526054025,0.029893489787355065,0.03805166482925415,0.030242746928706765,0.03537402395159006,0.026901485631242394,0.03367305640131235,1,PATRIOT MINING COMPANY LLC,0000000000000000004f,S100297,2023-07-01,2023-07-31
138,20230725T160829_20230725T162050_T17TNE,-80.0461800220382,39.65972147859276,1690302139358,0.03064209222793579,0.7341521347407252,0.038643295178189874,0.030487368116155267,0.045810995856299996,0.02603267226368189,0.02835207269527018,0.028085496509447694,0.03535680682398379,1,PATRIOT MINING COMPANY LLC,0000000000000000004f,S100297,2023-07-01,2023-07-31
142,20230705T160829_20230705T162114_T17TNE,-80.04438339146996,39.65972147859276,1688574138794,0.02975119650363922,0.7371360643301159,0.04168236628174782,0.02890456560999155,0.04676960618235171,0.023385622538626194,0.029856566339731216,0.026646816171705723,0.033931151032447815,1,PATRIOT MINING COMPANY LLC,0000000000000000004f,S100297,2023-07-01,2023-07-31
145,20230712T155829_20230712T160941_T17SND,-80.04438339146996,39.65972147859276,1689178355692,0.02705185697413981,0.6533057524356991,0.07471800688654184,0.036496296525001526,0.04201323934830725,0.04617095086723566,0.04168859706260264,0.02833665907382965,0.03879942954517901,1,PATRIOT MINING COMPANY LLC,0000000000000000004f,S100297,2023-07-01,2023-07-31
147,20230725T160829_20230725T162050_T17SND,-80.04438339146996,39.65972147859276,1690302153863,0.03080792003311217,0.5824026176705956,0.057426985586062074,0.03762425482273102,0.05867696017958224,0.048898641020059586,0.05815327540040016,0.037152186036109924,0.044032350182533264,1,PATRIOT MINING COMPANY LLC,0000000000000000004f,S100297,2023-07-01,2023-07-31
148,20230725T160829_20230725T162050_T17TNE,-80.04438339146996,39.65972147859276,1690302139358,0.03216707054525614,0.6642538516316563,0.04423750936985016,0.03604296687990427,0.05268067214637995,0.030759730376303196,0.03869130299426615,0.03172525414265692,0.04416693211533129,1,PATRIOT MINING COMPANY LLC,0000000000000000004f,S100297,2023-07-01,2023-07-31
152,20230705T160829_20230705T162114_T17TNE,-80.0461800220382,39.661518109160994,1688574138794,0.025875345803797245,0.5357044490519911,0.13378654629923403,0.037046381272375584,0.06679814402014017,0.07367891282774508,0.042515147710219026,0.033455008873716,0.03397051268257201,1,PATRIOT MINING COMPANY LLC,0000000000000000004f,S100297,2023-07-01,2023-07-31
155,20230712T155829_20230712T160941_T17SND,-80.0461800220382,39.661518109160994,1689178355692,0.025318745523691177,0.4905726769939065,0.15724826231598854,0.04491403722204268,0.05587983503937721,0.11056923866271973,0.036106726387515664,0.03681765520013869,0.03808143571950495,1,PATRIOT MINING COMPANY LLC,0000000000000000004f,S100297,2023-07-01,2023-07-31
157,20230725T160829_20230725T162050_T17SND,-80.0461800220382,39.661518109160994,1690302153863,0.03357233107089996,0.6822826548013836,0.055570062482729554,0.039318116614595056,0.042578095803037286,0.04082698468118906,0.03260092088021338,0.028702572220936418,0.035523414611816406,1,PATRIOT MINING COMPANY LLC,0000000000000000004f,S100297,2023-07-01,2023-07-31
158,20230725T160829_20230725T162050_T17TNE,-80.0461800220382,39.661518109160994,1690302139358,0.03090441250242293,0.6621165501419455,0.0629126662388444,0.038403703132644296,0.04940607794560492,0.04504995886236429,0.03419023100286722,0.030189698794856668,0.03656629100441933,1,PATRIOT MINING COMPANY LLC,0000000000000000004f,S100297,2023-07-01,2023-07-31
162,20230705T160829_20230705T162114_T17TNE,-80.04438339146996,39.661518109160994,1688574138794,0.026284396881237626,0.5367100574076176,0.12888731062412262,0.03600242198444903,0.060292068868875504,0.07414352730847895,0.03732296661473811,0.03201399836689234,0.03535680682398379,1,PATRIOT MINING COMPANY LLC,0000000000000000004f,S100297,2023-07-01,2023-07-31
167,20230725T160829_20230725T162050_T17SND,-80.04438339146996,39.661518109160994,1690302153863,0.027490303851664066,0.6001662558410317,0.0852059805765748,0.0393060150090605,0.042603288078680634,0.07544551067985594,0.032976689049974084,0.031184016028419137,0.03820063569582999,1,PATRIOT MINING COMPANY LLC,0000000000000000004f,S100297,2023-07-01,2023-07-31
168,20230725T160829_20230725T162050_T17TNE,-80.04438339146996,39.661518109160994,1690302139358,0.02765753329731524,0.5245502630714327,0.11790194758214056,0.038913726806640625,0.04802528861910105,0.0880170261953026,0.03368425741791725,0.03152987197972834,0.037695322185754776,1,PATRIOT MINING COMPANY LLC,0000000000000000004f,S100297,2023-07-01,2023-07-31
172,20230705T160829_20230705T162114_T17TNE,-80.04258676090173,39.661518109160994,1688574138794,0.026741551468148828,0.7284368285909295,0.0484139658510685,0.028687063604593277,0.03695245925337076,0.03698766604065895,0.027754046954214573,0.0296039916574955,0.03278853581286967,1,PATRIOT MINING COMPANY LLC,0000000000000000004f,S100297,2023-07-01,2023-07-31
178,20230725T160829_20230725T162050_T17TNE,-80.04258676090173,39.661518109160994,1690302139358,0.03332117781974375,0.7111932672560215,0.04828646802343428,0.03489352855831385,0.03949379920959473,0.032479809829965234,0.02982493583112955,0.030508686089888215,0.03515625,1,PATRIOT MINING COMPANY LLC,0000000000000000004f,S100297,2023-07-01,2023-07-31
