,id,longitude,latitude,time,water,trees,grass,flooded_vegetation,crops,shrub_and_scrub,built,bare,snow_and_ice,label,Company,mine_id,orig_perm_id,start_date,end_date
80,20230718T161839_20230718T162101_T17SKA,-83.93768183284398,36.50663483133324,1689698003767,0.03186673880554736,0.7427012177649885,0.03464315179735422,0.030759730376303196,0.03367305640131235,0.03114630375057459,0.027454896131530404,0.03320429567247629,0.03427492664195597,1,MOUNTAINSIDE COAL COMPANY,0000000000000000001b,3203,2023-07-01,2023-07-31
81,20230723T161831_20230723T162339_T16SGF,-83.93768183284398,36.50663483133324,1690130004573,0.02695156284607947,0.7191162148956209,0.042552910977974534,0.026225058594718575,0.048232835019007325,0.03210142347961664,0.02823913679458201,0.028357211500406265,0.03241384425200522,1,MOUNTAINSIDE COAL COMPANY,0000000000000000001b,3203,2023-07-01,2023-07-31
82,20230723T161831_20230723T162339_T17SKA,-83.93768183284398,36.50663483133324,1690130003177,0.029846020974218845,0.7513526941183954,0.033271060325205326,0.028718085028231144,0.03337133303284645,0.03038620948791504,0.02854767465032637,0.03177419397979975,0.03232050780206919,1,MOUNTAINSIDE COAL COMPANY,0000000000000000001b,3203,2023-07-01,2023-07-31
85,20230718T161839_20230718T162101_T16SGF,-83.93588520227573,36.50663483133324,1689698004549,0.028594099916517735,0.7138465626630932,0.04531592153944075,0.030578020960092545,0.05545501806773245,0.029588241362944245,0.024480865336954594,0.028321249643340707,0.03604296687990427,1,MOUNTAINSIDE COAL COMPANY,0000000000000000001b,3203,2023-07-01,2023-07-31
86,20230718T161839_20230718T162101_T17SKA,-83.93588520227573,36.50663483133324,1689698003767,0.02858377993106842,0.7250027740374207,0.043045358965173364,0.029745932901278138,0.04686865583062172,0.030995682813227177,0.023798109032213688,0.029410030925646424,0.03551191184669733,1,MOUNTAINSIDE COAL COMPANY,0000000000000000001b,3203,2023-07-01,2023-07-31
87,20230723T161831_20230723T162339_T16SGF,-83.93588520227573,36.50663483133324,1690130004573,0.024223700165748596,0.6368593312799931,0.0683290793094784,0.029441440710797906,0.07796413288451731,0.045302929589524865,0.027743879705667496,0.02769815013743937,0.03131888899952173,1,MOUNTAINSIDE COAL COMPANY,0000000000000000001b,3203,2023-07-01,2023-07-31
88,20230723T161831_20230723T162339_T17SKA,-83.93588520227573,36.50663483133324,1690130003177,0.024476090678945184,0.7279941088054329,0.043521538376808167,0.026284396881237626,0.04536790796555579,0.03392552980221808,0.02559628919698298,0.028635398484766483,0.032468810910359025,1,MOUNTAINSIDE COAL COMPANY,0000000000000000001b,3203,2023-07-01,2023-07-31
91,20230718T161839_20230718T162101_T16SGF,-83.93408857170749,36.50663483133324,1689698004549,0.028280178317800164,0.7462032474577427,0.0371345414314419,0.027258042246103287,0.04745185747742653,0.02769815013743937,0.02458124072290957,0.02814690233208239,0.032457813853397965,1,MOUNTAINSIDE COAL COMPANY,0000000000000000001b,3203,2023-07-01,2023-07-31
92,20230718T161839_20230718T162101_T17SKA,-83.93408857170749,36.50663483133324,1689698003767,0.028198125073686242,0.7377126070205122,0.03963341214694083,0.027850728714838624,0.05276475939899683,0.026215175399556756,0.024864346720278263,0.027313493425026536,0.03416202240623534,1,MOUNTAINSIDE COAL COMPANY,0000000000000000001b,3203,2023-07-01,2023-07-31
93,20230723T161831_20230723T162339_T16SGF,-83.93408857170749,36.50663483133324,1690130004573,0.024811441311612725,0.7458605805877596,0.037992157973349094,0.026185536989942193,0.04804535419680178,0.03300994844175875,0.02476819697767496,0.028728429228067398,0.029619746142998338,1,MOUNTAINSIDE COAL COMPANY,0000000000000000001b,3203,2023-07-01,2023-07-31
